,complex,gene_names
0,0,EP300
1,0,CREBBP
2,0,KAT2B
3,0,NCOA3
4,1,PARP1
5,1,XRCC1
6,1,NCAPG
7,1,SMC2
8,1,NCAPH
9,1,SMC4
10,1,NCAPD2
11,2,HPS6
12,2,HPS3
13,2,HPS5
14,3,HDAC3
15,3,TBL1X
16,3,ZBTB33
17,3,KDM4A
18,3,TRIM33
19,3,KIF11
20,3,GPS2
21,3,NCOR1
22,3,TBL1XR1
23,3,CORO2A
24,4,HDAC3
25,4,TBL1X
26,4,NCOR2
27,4,GPS2
28,4,NCOR1
29,4,TBL1XR1
30,4,CORO2A
31,5,BLOC1S3
32,5,SNAPIN
33,5,HPS3
34,5,HPS5
35,5,HPS6
36,5,BLOC1S4
37,5,BLOC1S5
38,5,DTNBP1
39,5,BLOC1S1
40,5,BLOC1S2
41,5,BLOC1S6
42,6,ARPC1B
43,6,ARPC2
44,6,ARPC3
45,6,ARPC5
46,6,ARPC4
47,6,ACTR3
48,6,ACTR2
49,7,PSMD11
50,7,PSMD12
51,7,PSMD9
52,7,PSMD14
53,7,PSMD3
54,7,PSMD10
55,7,PSMC3
56,7,PSMC2
57,7,PSMC4
58,7,PSMD8
59,7,PSMD7
60,7,PSMD4
61,7,PSMC1
62,7,PSMC5
63,7,PSMC6
64,7,PSMD2
65,7,PSMD6
66,7,PSMD5
67,7,PSMD1
68,7,PSMD13
69,8,AP1S2
70,8,AP1S3
71,8,AP1M1
72,8,AP1G2
73,8,AP1G1
74,8,AP1S1
75,8,AP1AR
76,8,AP1M2
77,8,AP1B1
78,9,BCL6
79,9,CHD4
80,9,MTA3
81,9,MTA2
82,9,MBD3
83,9,HDAC1
84,10,BSG
85,10,PSEN2
86,10,PSEN1
87,10,NCSTN
88,10,DLL1
89,10,PSENEN
90,10,TMED10
91,10,APH1A
92,10,APH1B
93,11,SMARCA5
94,11,KIF4A
95,11,SMC2
96,11,HDAC1
97,11,SIN3A
98,11,SMC4
99,11,DNMT3B
100,12,RAB5A
101,12,RABEP1
102,12,RABGEF1
103,13,SAP25
104,13,RBBP4
105,13,HDAC2
106,13,ING2
107,13,SUDS3
108,13,ARID4A
109,13,RBBP7
110,13,SIN3B
111,13,BRMS1L
112,13,SAP18
113,13,SAP30
114,13,BRMS1
115,13,HDAC1
116,13,ING1
117,13,SAP130
118,13,SIN3A
119,13,ARID4B
120,14,AP3B1
121,14,AP3D1
122,14,AP3M2
123,14,AP3S2
124,14,AP3B2
125,14,AP3S1
126,14,AP3M1
127,15,STAT1
128,15,STAT2
129,15,IRF9
130,16,MBD2
131,16,CHD4
132,16,RBBP4
133,16,HDAC2
134,16,MTA3
135,16,MTA2
136,16,MBD3
137,16,RBBP7
138,16,MTA1
139,16,HDAC1
140,16,SIN3A
141,16,GATAD2B
142,17,RAD21
143,17,SMC1A
144,17,STAG2
145,17,DDX11
146,17,SMC3
147,17,STAG1
148,18,MED14
149,18,MED24
150,18,THRA
151,18,MED1
152,18,MED12
153,18,MED17
154,18,THRAP3
155,18,MED16
156,19,AP4M1
157,19,AP4E1
158,19,AP4S1
159,19,AP4B1
160,20,RAD51B
161,20,RAD51D
162,20,XRCC3
163,20,RAD51C
164,20,XRCC2
165,21,NBN
166,21,MRE11A
167,21,TRRAP
168,21,MDC1
169,21,BRCA1
170,21,RAD50
171,21,TERF2
172,22,TRPC1
173,22,ITPR3
174,22,HOMER3
175,23,TSC1
176,23,TBC1D7
177,23,TSC2
178,24,SKP1
179,24,CKS1B
180,24,FBXO44
181,24,FBXW7
182,24,FBXO27
183,24,FBXO11
184,24,FBXO6
185,24,FBXO31
186,24,FBXO17
187,24,CUL1
188,24,FBXO18
189,24,ZC3HC1
190,24,BTRC
191,24,FBXW11
192,24,SKP2
193,24,RBX1
194,25,SKP1
195,25,GLMN
196,25,FBXW8
197,25,RBX1
198,25,CUL7
199,26,NUP98
200,26,SEC13
201,26,NUP107
202,26,NUP160
203,26,NUP43
204,26,NUP37
205,26,NUP133
206,26,SEH1L
207,26,NUP85
208,27,ANAPC5
209,27,ANAPC2
210,27,ANAPC4
211,27,CDC16
212,27,CDC27
213,27,ANAPC7
214,27,CDC23
215,27,ANAPC1
216,27,ANAPC10
217,28,EP300
218,28,MDM2
219,28,TP53
220,29,POLR2L
221,29,POLR2K
222,29,GTF2E2
223,29,GTF2B
224,29,POLR2B
225,29,GTF2F1
226,29,POLR2G
227,29,GTF2E1
228,29,TBP
229,29,GTF2H2
230,29,GTF2H3
231,29,ERCC2
232,29,POLR2A
233,29,POLR2I
234,29,GTF2F2
