,super_cluster,gene_names
0,0,ACTR2
0,0,ACTR3
0,0,ACTR5
0,0,AP1M1
0,0,ARPC4-TTLL3;ARPC4
0,0,BRD8
0,0,BRPF3
0,0,CACYBP
0,0,CAPZA1
0,0,CAPZB
0,0,CASC3
0,0,CASC5
0,0,CDK5RAP2
0,0,CEP170
0,0,CHD7
0,0,CLTA
0,0,CLTC
0,0,CNOT1
0,0,CNOT10
0,0,COPS3
0,0,COX4I1
0,0,CRYBG3
0,0,CSRP2BP
0,0,CUL4A
0,0,CUL4B
0,0,DAPK3
0,0,DCP1A
0,0,DCTN5
0,0,DCTN6
0,0,DDB1
0,0,DDB2
0,0,DNTTIP2
0,0,DPCD
0,0,EDC3
0,0,EIF2B1
0,0,EMSY;C11ORF30
0,0,EPC1
0,0,EPC2
0,0,ERC1
0,0,FIG4
0,0,FKBP5
0,0,FN3KRP
0,0,GTSE1
0,0,HIP1
0,0,HIP1R
0,0,HIST2H2AC;HIST2H2AA3
0,0,HIST2H2BE
0,0,HNRNPF
0,0,HNRNPH1
0,0,HSPA4
0,0,HSPA9
0,0,ING3
0,0,INO80
0,0,INO80C
0,0,KAT5
0,0,KIF18B
0,0,LUZP1
0,0,MAPRE1
0,0,MBIP
0,0,MEAF6
0,0,MLK4
0,0,MOV10
0,0,MSI2
0,0,MTPN
0,0,NCAPG
0,0,NCAPH
0,0,NDC80
0,0,NOC2L
0,0,NSUN2
0,0,NSUN5
0,0,NUF2
0,0,PDE4DIP
0,0,PIH1D1
0,0,PIKFYVE
0,0,PLOD2
0,0,POLD1
0,0,PPIA
0,0,PPP1CA;PPP1CB
0,0,PPP1CB
0,0,PRKACA
0,0,PRKAR2B
0,0,RAC1
0,0,RBX1
0,0,RNMTL1
0,0,RUVBL1
0,0,RUVBL2
0,0,SACS
0,0,SGOL2
0,0,SH3D19
0,0,SHPRH
0,0,SMARCAL1
0,0,SMC4
0,0,SPAST
0,0,SPC24
0,0,SPC25
0,0,SPECC1
0,0,SPECC1L;SPECC1L-ADORA2A
0,0,SPTAN1
0,0,SRCAP
0,0,SUGT1
0,0,SVIL
0,0,TTC37
0,0,TTC4
0,0,TTI1
0,0,UPF1
0,0,UPF2
0,0,VPS72
0,0,WDR92;DKFZP434B156
0,0,XRN1
0,0,YEATS2
0,0,YEATS4
0,0,ZNHIT1
1,1,AUP1
1,1,CANX
1,1,CCDC167
1,1,CCDC47
1,1,CLCC1
